"Metier","J.aime.faire.des.experiences","J.aime.organiser..gerer","Je.suis.branche.high.tech","Enqueter..analyser.l.information..je.veux.en.faire.mon.travail","J.ai.le.sens.du.contact","J.aimerais.informer..communiquer","J.aime.bouger","J.aime.la.nature","Je.reve.d.un.metier.artistique","J.ai.la.bosse.du.commerce","J.aime.jongler.avec.les.chiffres","Je.veux.etre.aux.commandes","Je.veux.proteger.la.planete","Je.veux.travailler.de.mes.mains","Reparer..bricoler..j.adore.ca","J.aimerais.travailler.dehors","J.aime.les.sensations.fortes","Je.veux.etre.utile.aux.autres","Je.veux.faire.respecter.la.loi","Je.veux.m.occuper.d.animaux","Ma.vocation.est.de.soigner","Je.reve.de.travailler.a.l.etranger","Je.suis.fort.en.langues","J.aime.le.contact.avec.les.enfants","Le.sport.est.ma.passion","Chimie...Plasturgie...Industrie.pharmaceutique","Environnement","Fonction.publique","Commerce...Distribution","Communication...Publicite","Agriculture","Audit...Conseil...Ressources.humaines","Banque...Assurances....Immobilier","Architecture...BTP","Presse...Edition...imprimerie","Automobile","Construction.navale..ferroviaire.et.aeronautique","Electronique...Electrotechnique","Maintenance...Entretien","Telecommunications","Transport...Logistique","Mecanique...Metallurgie","Recherche","Culture...Patrimoine...Artisanat.d.art","Sport...Loisirs...Tourisme","Armee...Securite","Arts.du.spectacle...Audiovisuel","Sante...Social...Bien.etre","Agro.alimentaire","Energies.et.extraction","Enseignement...Formations","Hotellerie...Restauration","Informatique","Droit...Justice","Mode.et.industrie.textile","Bois...Meubles...Papier...Carton","Verre...Beton...Ceramique","bac...5","CAP.ou.equivalent","bac...3","bac...2","bac.ou.equivalent","bac...8","bac...4","sans.diplome","diplome.national.du.brevet","bac...6","bac...9.et.plus","X3e","bac...7","Statut.salarie","Statut.artisan","Statut.fonctionnaire","Liberal","Independant","Militaire","Intermittent.du.spectacle","Saisonnier","Contrat.de.volontariat","Salaire.debutant","diplome","diplome_num","X1","X2","km_cluster","cut_ward","cut_complete","jobs_id","ap_clusters","Y1","Y2"
"juge d'instruction",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1662,"bac...4",8,-18.9322956690772,-39.4435811779398,30,40,36,343,1,7.85788887366652,9.30050451308489
"juge des enfants",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1662,"bac...4",8,-19.8764797201212,-39.7052002288368,30,40,36,344,1,10.4053779486567,12.4897926338017
"juriste d'entreprise",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,"bac...5",9,-0.653032051062473,-31.7680591082489,36,17,11,345,1,12.9098558835685,11.8146729804575
"juriste droit de l'environnement",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2100,"bac...5",9,0.300380136435614,-32.4295550373497,36,17,11,346,1,9.00387107022107,10.7524659913033
"juriste en droit social",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2300,"bac...5",9,-0.302197089527802,-31.4225459237167,36,17,11,347,1,6.11971749179065,9.28046922013164
"juriste en propriété intellectuelle",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2500,"bac...5",9,0.212458572188788,-31.2974291588933,36,17,11,348,1,7.86705965921283,12.7842374574393
"magistrat / magistrate",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1662,"bac...4",8,-19.0726785131789,-38.3728126239557,30,40,36,355,1,10.2229297235608,11.9669756665826
"mandataire judiciaire",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2270,"bac...5",9,0.265534263208586,-26.0431543397315,21,4,4,357,1,13.1639133933932,13.5837694462389
"maître-chien",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1466.62,"CAP.ou.equivalent",3,-9.8996043818335,-37.8524729449347,15,17,38,370,1,6.46612176299095,13.0326418690383
"militaire du rang (armée de terre)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1500,"X3e",1,-8.60778904096932,-41.7017939507063,10,37,31,388,1,13.5042004324496,13.9957663230598
"militaire technicien / technicienne de l'air (MTA)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1500,"X3e",1,-8.43983369737922,-41.3294534799111,10,37,31,389,1,8.66908156126738,10.0956484954804
"notaire",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1800,"bac...7",11,-1.03720818970697,-27.4788855154926,16,9,4,402,1,11.4944300893694,13.4140800200403
"officier / officière de gendarmerie",0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3000,"bac...5",9,-10.4947095316292,-44.336763928885,10,37,31,405,1,11.3156709708273,13.0208031386137
"officier / officière de l'armée de l'air",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000,"bac...2",6,-9.10399162951406,-44.8129249898514,10,37,31,406,1,8.10669408924878,7.9256741758436
"officier / officière de l'armée de terre",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1648,"bac...2",6,-8.53539825937039,-44.480883852881,10,37,31,407,1,9.24906131252646,7.88884088210762
"officier / officière de police",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1800,"bac...3",7,-13.469002766383,-37.8019932935798,10,37,31,409,1,9.73768120445311,11.59550431557
"officier de marine / officière de marine",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1648,"bac...2",6,-9.02947147175355,-44.1631109774435,10,37,31,410,1,10.7815467398614,11.659382449463
"officier marinier / officière marinière",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1466,"bac.ou.equivalent",4,-10.0399604848206,-40.9734351324239,10,37,31,411,1,8.32704564742744,13.4195376858115
"sapeur-pompier",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1466,"diplome.national.du.brevet",2,-8.84123925923554,-39.9640137050174,10,37,31,508,1,9.06470524519682,9.82707670331001
"sous-officier / sous-officière de l'armée de l'air",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1466,"bac.ou.equivalent",4,-10.1240834373805,-41.6900662339757,10,37,31,525,1,13.3809097334743,7.33210111781955
"sous-officier / sous-officière de l'armée de terre",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1466,"bac.ou.equivalent",4,-10.6650286733813,-41.0021184394764,10,37,31,526,1,9.64221121184528,12.9311474021524
"substitut / substitute du procureur",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1662,"bac...4",8,-18.552066322899,-38.8923131904776,30,40,36,537,1,8.41888918541372,13.9865979328752
"surveillant / surveillante de centre pénitentiaire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1880,"diplome.national.du.brevet",2,-17.6457266929701,-34.1752440835073,36,17,11,538,1,10.3204358629882,13.5334697496146
"agenceur / agenceuse de cuisines et salles de bains",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"bac.ou.equivalent",4,27.953170812395,18.8003270406161,26,13,1,16,2,6.76050464250147,22.5828084703535
"ambulancier / ambulancière",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1466,"CAP.ou.equivalent",3,21.6473930105586,25.3301815546152,16,24,2,35,2,6.74411537125707,21.7800188940018
"batelier / batelière",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,19.4148023622194,22.5048352190542,14,29,10,87,2,13.0787435211241,19.1027779690921
"bijoutier-joaillier / bijoutière-joaillière",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,36.0795729431944,23.4042312086362,13,33,25,89,2,6.80734165757895,22.1861474774778
"bottier / bottière",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,39.0630571702522,22.3482992479705,13,33,25,95,2,6.85623530484736,21.552065897733
"boucher / bouchère",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,30.1217489819409,29.6279054303503,7,34,27,96,2,11.7596652042121,20.3556697554886
"boulanger / boulangère",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,29.7235493089997,30.4361932282117,7,34,27,97,2,8.45946837030351,16.0839100945741
"brodeur / brodeuse",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1466.62,"bac.ou.equivalent",4,42.1790485723875,22.4029853671863,24,1,25,98,2,11.8908148184419,17.9095256663859
"bronzier / bronzière",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,37.055823607273,23.6975748152717,13,33,25,99,2,8.33835092000663,16.388337649405
"canalisateur / canalisatrice",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466.62,"CAP.ou.equivalent",3,24.6306828576341,21.8541848191213,3,16,1,102,2,11.9437884707004,18.597364641726
"carreleur / carreleuse-mosaïste",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,32.5219603307394,24.1500905234193,24,1,1,103,2,13.1974862776697,22.3310691285878
"céramiste",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1365,"CAP.ou.equivalent",3,37.3336923073639,22.054212892352,13,33,25,107,2,9.55449865572155,16.2612340934575
"charcutier-traiteur / charcutière-traiteuse",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,30.1217479374857,29.6279066446524,7,34,27,109,2,12.3187886681408,22.5233423411846
"déménageur / déménageuse",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1466,"CAP.ou.equivalent",3,22.6211615632289,24.5682879026026,3,16,1,136,2,12.4097898360342,22.612964399159
"électricien installateur / électricienne installatrice",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,28.6412914731461,23.0410156244629,26,13,1,176,2,13.4925340600312,22.3989643398672
"encadreur / encadreuse",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1600,"CAP.ou.equivalent",3,36.3653668429651,25.1280360937465,24,1,25,183,2,7.57067290879786,17.3565278351307
"esthéticien-cosméticien / esthéticienne-cosméticienne",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,29.3837857655011,28.0184378058883,7,34,27,192,2,7.46101437695324,16.0477786529809
"étanchéiste",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466.62,"CAP.ou.equivalent",3,25.2622323340188,21.2730119922495,3,16,1,194,2,11.0050066392869,21.1450266316533
"facteur/ factrice d'instruments",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,36.357028293293,22.4987554122791,13,33,25,203,2,11.9431289024651,18.6662485003471
