Metier,code ROME
biostatisticien / biostatisticienne,K2402
botaniste,K2402
bottier / bottière,B1802
boucher / bouchère,D1101
boulanger / boulangère,D1102
brodeur / brodeuse,B1804
bronzier / bronzière,B1601
cadreur / cadreuse,L1505
caissier / caissière,D1505
canalisateur / canalisatrice,F1705
carreleur / carreleuse-mosaïste,F1608
carrossier / carrossière,I1606
cartographe,M1808
caviste,A1413
céramiste,B1201
chanteur / chanteuse,L1202
charcutier-traiteur / charcutière-traiteuse,D1103
chargé / chargée d'affaires en génie climatique,F1106
chargé / chargée d'affaires en génie mécanique,F1106
chargé / chargée d'études économiques,M1403
chargé / chargée d'études en marketing,M1403
chargé / chargée d'études en valorisation agricole des déchets,A1303
chargé / chargée d'études média,E1402
chargé / chargée d'études naturalistes,A1204
chargé / chargée d'études ressources humaines,M1502
chargé / chargée de clientèle banque,C1201
chargé / chargée de communication interne,E1103
chargé / chargée de pharmacovigilance,H1502
chargé / chargée de production,L1302
chargé / chargée de projet événementiel,E1107
chargé / chargée de recherche en acoustique musicale,F1106
chargé / chargée de recherche et développement déchets,H1302
chargé / chargée de référencement web,K1601
chargé / chargée de valorisation de la recherche,H1206
chargé / chargée de veille législative et réglementaire,K1402
chargé / chargée des méthodes outils et qualité en informatique,M1802
chargé / chargée des relations publiques,E1103
chargé / chargée hygiène sécurité environnement (HSE),H1302
danseur / danseuse,L1201
data manager,M1802
déclarant / déclarante en douane,N1202
décolleteur / décolleteuse,H2903
décorateur / décoratrice-scénographe,L1503
déménageur / déménageuse,N1102
démographe,K2401
designer d'interaction,E1205
designer industriel / designeuse industrielle,H1204
designer sonore,L1507
dessinateur / dessinatrice de BD,E1205
dessinateur / dessinatrice en construction mécanique,H1203
dessinateur-projeteur / dessinatrice-projeteuse,H1203
développeur / développeuse d'applications mobiles,M1805
développeur / développeuse économique,K1404
développeur / développeuse informatique,M1805
développeur rural / développeuse rurale humanitaire,K1802
diététicien / diététicienne,J1402
directeur / directrice artistique,H1204
directeur / directrice d'accueil collectif de mineurs (ACM),G1203
directeur / directrice d'agence bancaire,C1207
directeur / directrice d'hôpital,K1403
directeur / directrice d'hôtel,G1402
directeur / directrice d'office de tourisme,G1102
directeur / directrice de centre pénitentiaire,K1403
directeur / directrice de création,E1205
directeur / directrice de golf,G1403
directeur / directrice de la photographie,L1505
directeur / directrice de magasin à grande surface,D1504
documentaliste,K1601
domoticien / domoticienne,F1106
dresseur / dresseuse d'animaux,A1408
éclairagiste,L1504
économe de flux,K1103
économiste de la construction,F1108
économètre statisticien / statisticienne,M1403
écrivain / écrivaine,E1102
éditeur / éditrice,E1105
éducateur / éducatrice de jeunes enfants,K1202
éducateur / éducatrice de la protection judiciaire de la jeunesse (PJJ),K1207
éducateur spécialisé / éducatrice spécialisée,K1207
éducateur sportif / éducatrice sportive,G1204
éducateur sportif / éducatrice sportive des activités aquatiques et de la natation,G1204
éducateur technique spécialisé / éducatrice technique spécialisée,K1203
élagueur / élagueuse,A1201
électricien installateur / électricienne installatrice,F1602
électromécanicien / électromécanicienne,H2602
électromécanicien / électromécanicienne en remontées mécaniques,N4402
électronicien / électronicienne automobile,I1305
éleveur / éleveuse,A1407
employé / employée de pressing,D1205
employé / employée de restaurant,G1803
encadreur / encadreuse,H2208
enquêteur privé / enquêtrice privée,K2502
enseignant / enseignante d'art,K2107
enseignant / enseignante de la conduite automobile et de la sécurité routière,K2110
enseignant spécialisé / enseignante spécialisée,K2106
enseignant-chercheur / enseignante-chercheuse,K2108
entraîneur / entraîneuse de chevaux,L1401
ergonome,K2402
ergothérapeute,J1403
esthéticien-cosméticien / esthéticienne-cosméticienne,D1208
étalagiste,B1301
étanchéiste,F1613
ethnologue,K2401
expert / experte automobile,I1604
expert / experte en assurances,C1106
expert / experte en sécurité informatique,M1802
expert /experte bilan carbone,A1303
expert immobilier / experte immobilier,C1501
expert-comptable / experte-comptable,M1202
facteur / factrice,M1603
facteur/ factrice d'instruments,B1501
façadier / façadière,F1611
façonnier / façonnière des industries graphiques,E1301
ferronnier / ferronnière d'art,B1601
fiscaliste,K1903
fleuriste,D1209
formateur / formatrice d'adultes,K2111
formateur / formatrice en informatique,K2111
formulateur / formulatrice,H1505
"garde (chasse, pêche, littoral, rivière, parcs nationaux)",A1204
garde à cheval,K1707
gardien / gardienne de police municipale,K1706
garçon de café,G1801
gendarme,K1706
généticien / généticienne,K2402
géochimiste,F1105
géographe,M1808
géologue,F1105
géologue minier / minière,F1105
géologue modélisateur / modélisatrice,F1105
géomaticien / géomaticienne,M1808
géomètre-topographe,F1107
géophysicien / géophysicienne,F1105
géotechnicien / géotechnicienne,F1105
géothermicien / géothermicienne,F1105
gérant / gérante de portefeuille,C1303
gérant / gérante de restauration collective,G1402
gestionnaire actif/passif,C1105
gestionnaire de contrats d'assurance,C1105
gestionnaire de contrats informatiques,M1802
gestionnaire de données cliniques,M1802
gestionnaire de parc micro-informatique,I1401
gestionnaire de patrimoine,C1205
glaciologue,F1105
gouvernant / gouvernante,G1503
graphiste,E1205
greffier / greffière,K1902
grutier / grutière,F1301
guichetier / guichetière,C1201
guide de haute montagne,G1201
halieute,A1303
histologiste,K2402
horloger / horlogère,B1604
horticulteur / horticultrice,A1404
hot liner,D1408
huissier / huissière de justice,K1901
hydraulicien / hydraulicienne,I1302
hydrogéologue,F1105
hydrologue,F1105
hôte / hôtesse d'accueil,G1101
hôtesse de l'air / steward,N2101
iconographe,K1601
illustrateur / illustratrice,E1205
infirmier / infirmière,J1506
infirmier / infirmière humanitaire,J1502
informaticien industriel / informaticienne industrielle,M1805
ingénieur / ingénieure R&amp;D en énergies renouvelables,H1206
ingénieur / ingénieure analyste de l'air,H1501
ingénieur / ingénieure brevets,H1206
ingénieur / ingénieure calcul,H1206
ingénieur / ingénieure chimiste,H1206
ingénieur / ingénieure chimiste en développement analytique,H1206
ingénieur / ingénieure cloud computing,M1802
ingénieur / ingénieure combustion et brûleurs,H1206
ingénieur / ingénieure d'affaires en génie électrique,F1106
ingénieur / ingénieure d'application,H1206
ingénieur / ingénieure d'études en sûreté nucléaire,H1302
ingénieur / ingénieure de la police technique et scientifique,K2402
ingénieur / ingénieure de maintenance industrielle,I1102
ingénieur / ingénieure de recherche clinique et épidémiologique,K2402
ingénieur / ingénieure du BTP,F1106
ingénieur / ingénieure du son,L1508
ingénieur / ingénieure efficacité énergétique du bâtiment,H2502
ingénieur / ingénieure électricien / électricienne,H1206
ingénieur / ingénieure en aéronautique,H2502
ingénieur / ingénieure en automatismes,H1206
ingénieur / ingénieure en caractérisation des matériaux,H1206
ingénieur / ingénieure en construction automobile,H1206
ingénieur / ingénieure en construction navale,H1206
ingénieur / ingénieure en électronique numérique,H1206
ingénieur / ingénieure en énergie solaire,H2502
ingénieur / ingénieure en fonderie,H2502
ingénieur / ingénieure en génie climatique,F1106
ingénieur / ingénieure en imagerie médicale,H1206
ingénieur / ingénieure en mécanique,H1206
ingénieur / ingénieure en métrologie,H1206
ingénieur / ingénieure en production et expérimentations végétales,H1206
ingénieur / ingénieure environnement,H1302
ingénieur / ingénieure environnement et risques industriels,H1302
ingénieur / ingénieure essais,H1206
ingénieur / ingénieure études et développement en logiciels de simulation,M1805
"ingénieur / ingénieure fluides, énergies, réseaux, environnement",H1501
ingénieur / ingénieure forage,F1203
ingénieur / ingénieure frigoriste,H1206
ingénieur / ingénieure gaz,F1203
ingénieur / ingénieure hydroécologue,F1105
ingénieur / ingénieure hydrogéomorphologue,F1105
ingénieur / ingénieure intégration satellite,H2502
ingénieur / ingénieure logiciel,M1805
ingénieur / ingénieure maintenance aéronautique,I1102
ingénieur / ingénieure matériaux,H1206
ingénieur / ingénieure mathématicien /mathématicienne,K2402
ingénieur / ingénieure métallurgiste,H1206
ingénieur / ingénieure méthodes mécaniques,H1206
ingénieur / ingénieure nucléaire,H1302
ingénieur / ingénieure plasturgiste,H1206
ingénieur / ingénieure procédés en chimie,H1206
ingénieur / ingénieure process aval,H1402
ingénieur / ingénieure production dans les biotechnologies,H2502
ingénieur / ingénieure production en aéronautique,H2502
ingénieur / ingénieure production en mécanique,H2502
ingénieur / ingénieure qualité moteur,H1502
ingénieur / ingénieure radioprotection,M1804
ingénieur / ingénieure réservoir,F1105
ingénieur / ingénieure structures,F1106
ingénieur / ingénieure support,H1101
ingénieur / ingénieure système,M1802
ingénieur / ingénieure systèmes embarqués,I1305
ingénieur / ingénieure télécoms et réseaux,M1804
ingénieur / ingénieure textile,H1206
ingénieur / ingénieure traitement de l'image,M1805
ingénieur analogicien / ingénieure analogicienne,H1206
ingénieur aromaticien / ingénieure aromaticienne,H1505
ingénieur biomédical / ingénieure biomédicale,H1206
ingénieur concepteur / ingénieure conceptrice en mécanique,H1206
ingénieur écoconcepteur / ingénieure écoconceptrice,M1402
ingénieur électronicien / ingénieure électronicienne,H1206
ingénieur électronicien / ingénieure électronicienne des systèmes de la sécurité aérienne (IESSA),I1102
ingénieur en acoustique,F1106
ingénieur forestier / ingénieure forestière,A1303
ingénieur opticien / ingénieure opticienne,K2402
ingénieur papetier / ingénieure papetière,H1206
ingénieur pétrolier / ingénieure pétrolière,F1203
ingénieur technico-commercial / ingénieure technico-commerciale,D1407
ingénieur technico-commercial / ingénieure technico-commerciale en chimie,H1102
ingénieur technico-commercial / ingénieure technico-commerciale en électronique,H1102
ingénieur technico-commercial / ingénieure technico-commerciale en informatique,D1407
journaliste,E1106
journaliste reporter / reportrice d'images,E1106
juge d'instance,K1904
juge d'instruction,K1904
juge des enfants,K1904
juriste d'entreprise,K1903
juriste droit de l'environnement,K1903
juriste en droit social,K1903
juriste en propriété intellectuelle,K1903
"lad-jockey, lad-driver",G1403
libraire,D1211
linguiste,K2401
logisticien / logisticienne,N1303
machiniste-constructeur / constructrice ou plateau,L1506
magasinier / magasinière cariste,N1103
magistrat / magistrate,K1904
manager de risques,M1201
mandataire judiciaire,K1102
manipulateur / manipulatrice en électroradiologie médicale,J1306
maquettiste,E1306
maquilleur / maquilleuse artistique,L1501
maraîcher / maraîchère,A1414
marchandiseur / marchandiseuse,D1506
maréchal-ferrant / maréchale-ferrante,A1502
maroquinier / maroquinière,B1802
masseur / masseuse-kinésithérapeute,J1404
matelot de la marine marchande,N3102
matelot à la pêche,A1415
maçon / maçonne,F1703
maître / maîtresse d'hôtel,G1802
maître-chien,K2503
mécanicien / mécanicienne bateaux,I1605
mécanicien / mécanicienne d'entretien d'avion,I1602
mécanicien / mécanicienne et technicien / technicienne moto,I1607
mécanicien-outilleur / mécanicienne-outilleuse,H2901
mécanicien-réparateur / mécanicienne-réparatrice en matériel agricole,I1603
mécatronicien / mécatronicienne,H1206
médecin de secours en montagne,K1705
médecin généraliste,J1102
médecin humanitaire,J1102
médecin spécialiste,J1102
médiateur / médiatrice scientifique,E1103
médiateur familial / médiatrice familiale,K1101
menuisier / menuisière,H2206
météorologiste,M1809
metteur / metteuse en scène,L1301
microbiologiste,K2402
microtechnicien / microtechnicienne,I1305
militaire du rang (armée de terre),K1701
militaire technicien / technicienne de l'air (MTA),K1701
mixeur / mixeuse son,L1507
modéliste,H1205
modiste,B1801
moniteur / monitrice d'activités équestres,G1403
moniteur / monitrice de ski,G1204
moniteur-éducateur / monitrice-éducatrice,K1207
monteur / monteuse en installations thermiques et climatiques,I1306
monteur / monteuse en réseaux de distribution électrique,F1605
monteur-câbleur / monteuse-câbleuse,H2602
mouleur-noyauteur / mouleuse-noyauteuse,H2908
musicien / musicienne,L1202
neurobiologiste,J1102
notaire,K1901
océanologue,K2402
oenologue,A1413
officier / officière de gendarmerie,K1704
officier / officière de l'armée de l'air,K1703
officier / officière de l'armée de terre,K1703
officier / officière de la marine marchande,N3101
officier / officière de police,K1704
officier de marine / officière de marine,K1703
officier marinier / officière marinière,K1701
opérateur / opératrice de raffinerie,H2701
opérateur / opératrice prépresse,E1306
opérateur / opératrice sur machine à commande numérique,H2905
opérateur et technicien / opératrice et technicienne en traitement des matériaux,I1402
opticien-lunetier / opticienne-lunetière,J1405
optronicien / optronicienne,H1206
orfèvre,B1603
orthophoniste,J1406
orthoprothésiste,J1411
orthoptiste,J1407
ostéopathe,J1408
ouvrier / ouvrière agricole,A1416
ouvrier / ouvrière paysagiste,A1203
ouvrier forestier / ouvrière forestière,A1205
palefrenier / palefrenière,A1403
paléontologue,K2401
parfumeur / parfumeuse,H1505
paysagiste,A1203
pédiatre,J1102
pédicure-podologue,J1409
pédologue,F1105
peintre en bâtiment,F1606
pharmacien / pharmacienne,J1202
pharmacien / pharmacienne dans l'industrie,H1502
photographe,E1201
pilote d'hélicoptère,N2102
pilote de ligne,N2102
pilote de ligne automatisée (chimie - agroalimentaire - industrie pharmaceutique),H2301
pisteur / pisteuse secouriste,K1705
plombier / plombière,F1603
plâtrier / plâtrière,F1601
podo-orthésiste,J1411
préparateur / préparatrice en pharmacie,H2502
professeur / professeure d'éducation physique et sportive (EPS),G1204
professeur / professeure dans l'enseignement agricole,K2109
professeur / professeure de collège et de lycée,K2107
professeur / professeure de lycée professionnel,K2109
professeur / professeure de mathématiques ou de physique-chimie,K2107
professeur / professeure de musique et de danse,K2106
professeur des écoles / professeure des écoles,K2105
professeur-documentaliste / professeure-documentaliste,K1601
programmiste,F1101
projectionniste,E1204
prothésiste dentaire,J1410
prototypiste en matériaux souples,H2411
psychanalyste,K1104
psychologue,K1104
psychomotricien / psychomotricienne,J1412
puériculteur / puéricultrice,J1507
pâtissier / pâtissière,D1102
qualiticien / qualiticienne,H1502
réceptionniste,G1703
rédacteur / rédactrice en chef,E1106
rédacteur / rédactrice on line,E1106
rédacteur médical / rédactrice médicale,H1207
rédacteur territorial / rédactrice territoriale,K1404
régisseur / régisseuse de spectacles,L1509
régisseur / régisseuse lumière,L1504
régisseur général / régisseuse générale cinéma,L1509
régleur / régleuse,H2901
relieur-doreur / relieuse-doreuse,B1302
reporter-photographe / reportrice-photographe,E1106
responsable achats en chimie,M1102
responsable approvisionnement,M1102
responsable assurance qualité,H1502
responsable biométrie,H1206
responsable de fabrication en agroalimentaire,H2502
responsable de fabrication en chimie,H1206
responsable de formation,M1502
responsable de la collecte des déchets ménagers,K2302
responsable de la promotion des ventes,M1706
responsable de laboratoire de contrôle en biologie,H1302
responsable de laboratoire de contrôle en chimie,H1502
responsable de laboratoire de recherche,H1501
responsable de plate-forme biotechnologique,H1206
responsable de production alimentaire,H2102
responsable de projets culturels,G1202
responsable de rémunération,M1503
responsable de réseau d'assainissement,K2302
responsable de réseau eau potable,K2306
responsable de scierie,H2204
responsable de site de traitement des déchets,K2306
responsable des ouvrages hydroélectriques,H2502
responsable des produits structurés actions,C1303
responsable des ressources humaines,M1503
responsable du back office,C1302
responsable du recrutement,M1502
responsable du service après-vente,I1402
responsable du soutien logistique intégré,N1302
responsable e-CRM,M1704
responsable qualité en agroalimentaire,H2502
restaurateur / restauratrice d'oeuvres d'art,B1302
roboticien / roboticienne,H1208
rudologue,H1206
sage-femme / maïeuticien,J1104
salesman,M1205
sapeur-pompier,K1705
scénariste,E1102
secrétaire,M1607
secrétaire administratif / administrative,M1607
secrétaire d'édition,E1105
secrétaire de rédaction,E1106
secrétaire des Affaires étrangères,K1404
secrétaire juridique,M1607
secrétaire médical / médicale,M1609
sellier / sellière,B1802
sérigraphe,E1301
serrurier-métallier / serrurière-métallière,F1607
sociologue,K2401
soigneur animalier / soigneuse animalière,A1501
solier-moquettiste / solière-moquettiste,F1609
soudeur / soudeuse,H2913
souffleur / souffleuse de verre,B1602
sous-officier / sous-officière de l'armée de l'air,K1703
sous-officier / sous-officière de l'armée de terre,K1703
souscripteur / souscriptrice,C1110
spécialiste de l'accessibilité numérique,M1806
spécialiste des affaires réglementaires en chimie,H1502
sportif / sportive de haut niveau,L1401
staffeur-ornemaniste / staffeuse-ornemaniste,F1601
statisticien / statisticienne,M1403
statisticien / statisticienne en analyse sensorielle,M1403
statisticien / statisticienne en géomarketing,M1403
statisticien industriel / statisticienne industrielle,M1403
styliste,B1805
substitut / substitute du procureur,K1904
surveillant / surveillante de centre pénitentiaire,K1706
syndic de copropriété,C1501
tailleur / tailleuse de pierre,F1612
tailleur-couturier / tailleuse-couturière,B1803
tapissier / tapissière d'ameublement,B1806
technicien / technicienne automobile,H2909
technicien / technicienne biologiste,H1210
technicien / technicienne céramiste,B1201
technicien / technicienne chimiste,H1210
technicien / technicienne d'analyses biomédicales,J1302
technicien / technicienne d'essais,H1503
technicien / technicienne d'exploitation de l'eau,K2301
technicien / technicienne d'exploitation du réseau gaz,F1401
technicien / technicienne d'intervention clientèle gaz,F1603
technicien / technicienne de fabrication de mobilier et de menuiserie,H2202
technicien / technicienne de forge,H2904
technicien / technicienne de l'intervention sociale et familiale,K1201
technicien / technicienne de maintenance en génie climatique,I1306
technicien / technicienne de maintenance en informatique,I1404
technicien / technicienne de maintenance industrielle,I1304
technicien / technicienne de police technique et scientifique,H1210
technicien / technicienne des industries du verre,H2801
technicien / technicienne en automatismes,I1302
technicien / technicienne en engins de travaux publics,I1603
technicien / technicienne en lignes haute tension,F1605
technicien / technicienne en métrologie,H1506
technicien / technicienne en optique de précision,H2901
technicien / technicienne en traitement des déchets,K2306
technicien / technicienne nucléaire,I1503
technicien / technicienne paysagiste,A1203
technicien / technicienne plasturgiste,H3202
technicien / technicienne télécoms et réseaux,I1307
technicien électronicien / technicienne électronicienne,F1602
technicien électrotechnicien / technicienne électrotechnicienne,I1302
technicien forestier / technicienne forestière,A1201
technicien pétrolier / technicienne pétrolière,F1401
technicien réalisateur / technicienne réalisatrice radio,J1303
technicien thermicien / technicienne thermicienne,I1308
urbaniste,K1802
valet / femme de chambre,G1501
veilleur / veilleuse stratégique,M1403
vendeur / vendeuse en animalerie,D1210
vendeur / vendeuse en magasin,D1106
vendeur / vendeuse en micro-informatique et multimédia,I1401
vendeur-conseil / vendeuse-conseil en matériel agricole,D1402
vendeur-magasinier / vendeuse-magasinière en fournitures automobiles,D1404
verrier / verrière au chalumeau,B1602
vétérinaire,A1504
visiteur médical / visiteuse médicale,D1405
viticulteur / viticultrice,A1405
vitrailliste,B1602
volcanologue,F1105
web-ergonome,E1205
webmestre,E1101
zoologiste,K2402
