,intitule,code_rome,score,X1,X2,cluster,Métier_onisep_1,Métier_onisep_2,Métier_onisep_3,Métier_onisep_4,Métier_onisep_5,Métier_onisep_6,Métier_onisep_7,Métier_onisep_8,Métier_onisep_9,Métier_onisep_10,Métier_onisep_11,Métier_onisep_12,Métier_onisep_13,Métier_onisep_14,Métier_onisep_15,Métier_onisep_16,Métier_onisep_17,Métier_onisep_18,Métier_onisep_19,Métier_onisep_20,Métier_onisep_21,Métier_onisep_22,Métier_onisep_23,Métier_onisep_24,Métier_onisep_25,Métier_onisep_26,Métier_onisep_27,Métier_onisep_28,Métier_onisep_29,Métier_onisep_30,Métier_onisep_31,Métier_onisep_32,Métier_onisep_33,Métier_onisep_34,Métier_onisep_35,Métier_onisep_36,Métier_onisep_37,Métier_onisep_38,Métier_onisep_39,Métier_onisep_40,Métier_onisep_41,Métier_onisep_42,Métier_onisep_43,Métier_onisep_44,Métier_onisep_45,Métier_onisep_46,Métier_onisep_47,Métier_onisep_48
490,Exploitation de systèmes de communication et de commandement,M1807,0.9903794776195041,20.521861832928398,3.5971671723108303,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Intervention technique en Hygiène Sécurité Environnement -HSE- industriel,H1303,0.9903794776195041,31.701397889752002,-11.474464264070802,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Prépresse,E1306,0.9903794776195041,67.6418206902476,-9.90009323495232,44,opérateur / opératrice prépresse,maquettiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Information géographique,M1808,0.9903794776195041,0.5924779196836579,-9.288806385256711,46,officier marinier / officière marinière,cartographe,géographe,géomaticien / géomaticienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Souscription d'assurances,C1110,0.41937893189099495,48.0179613279041,28.2108686833358,18,souscripteur / souscriptrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Conception de contenus multimédias,E1104,0.41937893189099495,22.932987362949,13.5446490546891,39,concepteur-rédacteur / conceptrice-rédactrice,concepteur / conceptrice multimédia,webmestre,concepteur / conceptrice de jeux vidéo,chef de projet multimédia,concepteur / conceptrice de niveaux de jeu web,architecte web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Expertise risques en assurances,C1106,0.41937893189099495,29.0942696909378,-9.5911144997844,3,expert / experte en assurances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Médecine de prévention,J1101,0.41937893189099495,-47.793675281929595,43.434682270519104,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Collaboration juridique,K1902,0.41937893189099495,43.439544589351904,31.282831917950503,21,greffier / greffière,clerc d'huissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Analyse de tendance,M1702,0.41937893189099495,22.0583436254037,7.157267455055339,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Accueil et services bancaires,C1201,0.41937893189099495,2.91268987948107,38.1765508722574,22,guichetier / guichetière,chargé / chargée de clientèle banque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Accueil et renseignements,M1601,0.41937893189099495,79.769459258073,-3.6673213647591,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Achats,M1101,0.41937893189099495,32.2428255612685,11.1858796590648,60,acheteur / acheteuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Comptabilité,M1203,0.41937893189099495,58.734811456478795,37.433208971090394,19,comptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Inspection de conformité,H1301,0.41937893189099495,-0.68783215982711,-45.7751993613499,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Aide aux bénéficiaires d'une mesure de protection juridique,K1102,0.41937893189099495,43.1221901067657,39.6302462117026,20,mandataire judiciaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Art dramatique,L1203,0.41937893189099495,-45.1007204992918,17.0586600783538,92,comédien / comédienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Développement des ressources humaines,M1502,0.41937893189099495,20.43459164116,34.4392557116818,91,responsable du recrutement,responsable de formation,chargé / chargée d'études ressources humaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Intervention technique en contrôle essai qualité en électricité et électronique,H1504,0.41937893189099495,3.71810800549785,-30.1589840672383,13,technicien / technicienne d'essais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Réalisation de contenus multimédias,E1205,0.41937893189099495,66.9522502734004,-8.521018188422481,44,graphiste,animateur / animatrice 2D et 3D,dessinateur / dessinatrice de BD,illustrateur / illustratrice,intégrateur / intégratrice web,webdesigner,designer d'interaction,web-ergonome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Gestion en banque et assurance,C1401,0.41937893189099495,78.1239633476343,-4.21475170608564,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Assistanat de direction,M1604,0.41937893189099495,75.05248705635191,-3.9302980425645,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Gestion back et middle-office marchés financiers,C1302,0.41937893189099495,61.7446949163642,41.215434290469204,24,responsable du back office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Assistanat technique et administratif,M1605,0.41937893189099495,78.8683015491193,-6.047552377821621,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Saisie de données,M1606,0.41937893189099495,77.59142648442229,-6.467832039611241,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Présentation de spectacles ou d'émissions,L1103,0.41937893189099495,67.8706289570591,-1.3426637825852599,38,animateur / animatrice de radio et de télévision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Information météorologique,M1809,0.41937893189099495,-0.520516720074957,-7.54486751525162,46,météorologiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Conseil et maîtrise d'ouvrage en systèmes d'information,M1806,0.41937893189099495,44.327130111989604,5.297504002084461,96,consultant / consultante en solutions intégrées,consultant / consultante informatique,spécialiste de l'accessibilité numérique,consultant / consultante en informatique décisionnelle,consultant / consultante en systèmes d'information,consultant / consultante SaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Accueil touristique,G1101,0.41937893189099495,-11.500237514835101,3.80014799689296,53,hôte / hôtesse d'accueil,conseiller / conseillère en séjour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Sécurité publique,K1706,0.41937893189099495,-20.575665117583302,43.882487026608295,89,gardien / gardienne de la paix,gendarme,surveillant / surveillante de centre pénitentiaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Conduite d'engins de terrassement et de carrière,F1302,0.41937893189099495,-26.703733384208398,1.7465897838883302,48,conducteur / conductrice d'engins de travaux publics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Câblage électrique et électromécanique,H2602,0.41937893189099495,-1.6310152130214097,-33.6311005771314,13,électromécanicien / électromécanicienne,monteur-câbleur / monteuse-câbleuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Contrôle et diagnostic technique du bâtiment,F1103,0.41937893189099495,42.7027865114732,16.8582309152038,26,économe de flux,diagnostiqueur / diagnostiqueuse immobilier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Gestion de patrimoine culturel,K1602,0.41937893189099495,23.321945518930303,7.13334024696704,35,animateur / animatrice du patrimoine,conservateur / conservatrice du patrimoine,responsable de projets culturels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ingénierie en agriculture et environnement naturel,A1303,0.41937893189099495,50.0656247225393,-19.1026431607886,4,ingénieur forestier / ingénieure forestière,paysagiste,agronome,expert /experte bilan carbone,chef de projet biodiversité,chargé / chargée d'études en valorisation agricole des déchets,ingénieur / ingénieure en production et expérimentations végétales,animateur / animatrice de bassin versant,halieute,inséminateur / inséminatrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Décoration d'espaces de vente et d'exposition,B1301,0.41937893189099495,-62.0096108735755,-33.0066041682197,12,étalagiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Contrôle et diagnostic technique en agriculture,A1302,0.41937893189099495,48.9066434332459,-44.124851313944,2,contrôleur / contrôleuse de performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Éducation et surveillance au sein d'établissements d'enseignement,K2104,0.41937893189099495,-24.4851818604531,45.1167053695945,89,conseiller principal d'éducation / conseillère principale d'éducation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Protection des consommateurs et contrôle des échanges commerciaux,K1505,0.41937893189099495,-19.2958646690155,47.3756534605011,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Protection du patrimoine naturel,A1204,0.41937893189099495,32.807681910136104,-10.085896347492401,3,garde à cheval,"garde (chasse, pêche, littoral, rivière, parcs nationaux)",chargé / chargée d'études naturalistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Mise en oeuvre et pilotage de la politique des pouvoirs publics,K1404,0.41937893189099495,18.3448757491578,11.761242066519301,39,attaché territorial / attachée territoriale,rédacteur territorial / rédactrice territoriale,chef / cheffe de projet territorial,développeur / développeuse économique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Élaboration de plan média,E1402,0.41937893189099495,21.396338229526602,7.741923882212171,35,chargé / chargée d'études média,acheteur / acheteuse d'espaces publicitaires,traffic manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Assistance auprès d'enfants,K1303,-0.15162161383751402,-40.8651547966728,33.4073774617816,86,assistant maternel / assistante maternelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Accompagnement et médiation familiale,K1101,-0.15162161383751402,-25.513330248982896,29.2397405916888,87,médiateur familial / médiatrice familiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Psychologie,K1104,-0.15162161383751402,-39.219567045236296,49.825278476081294,83,psychanalyste,psychologue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Sécurité civile et secours,K1705,-0.15162161383751402,-25.9352710890075,16.8474382177197,5,sapeur-pompier,maître-chien,pisteur / pisteuse secouriste,médecin de secours en montagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Développement personnel et bien-être de la personne,K1103,-0.15162161383751402,-40.5007228074418,46.8432846279181,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Surveillance municipale,K1707,-0.15162161383751402,-21.3829344400169,45.4285409640972,89,garde à cheval,gardien / gardienne de police municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Soins infirmiers spécialisés en puériculture,J1507,-0.15162161383751402,-39.4815562239245,30.4433028042413,86,puériculteur / puéricultrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Soins infirmiers généralistes,J1506,-0.15162161383751402,-45.838261756390494,36.017409866831,84,infirmier / infirmière,infirmier / infirmière humanitaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Soins infirmiers spécialisés en prévention,J1505,-0.15162161383751402,-47.474037160252294,42.4804200720939,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Soins infirmiers spécialisés en bloc opératoire,J1504,-0.15162161383751402,-50.79188951733129,31.3495914504079,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Soins infirmiers spécialisés en anesthésie,J1503,-0.15162161383751402,-50.323934926688096,31.6626601749509,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Conseil en emploi et insertion socioprofessionnelle,K1801,-0.15162161383751402,22.5721770079465,43.162279253162005,90,conseiller / conseillère en insertion sociale et professionnelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Coordination de services médicaux ou paramédicaux,J1502,-0.15162161383751402,2.91240385906617,13.3321151064794,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,"Soins d'hygiène, de confort du patient",J1501,-0.15162161383751402,-47.0231718533449,34.2779400885362,84,aide-soignant / aide-soignante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Rééducation en psychomotricité,J1412,-0.15162161383751402,-40.9955809817735,48.0895220823664,83,psychomotricien / psychomotricienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Développement local,K1802,-0.15162161383751402,39.1145745690792,14.761285641917699,26,urbaniste,agent / agente de développement local,développeur / développeuse économique,développeur rural / développeuse rurale humanitaire,agent / agente de développement touristique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Action sociale,K1201,-0.15162161383751402,25.929886785665897,-1.3535767758863402,59,assistant / assistante de service social,conseiller / conseillère en économie sociale et familiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Personnel de la Défense,K1701,-0.15162161383751402,-22.1004753212747,15.3075376512972,56,sous-officier / sous-officière de l'armée de l'air,officier marinier / officière marinière,sous-officier / sous-officière de l'armée de terre,militaire du rang (armée de terre),militaire technicien / technicienne de l'air (MTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Management de la sécurité publique,K1704,-0.15162161383751402,-18.4102525939159,45.0876705039225,89,commissaire de police,officier / officière de police,officier / officière de gendarmerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Direction opérationnelle de la défense,K1703,-0.15162161383751402,-0.08797232411691999,12.2786152248137,27,officier / officière de l'armée de l'air,officier de marine / officière de marine,officier / officière de l'armée de terre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Assistance auprès d'adultes,K1302,-0.15162161383751402,-40.458777800877705,33.3010742011066,86,auxiliaire de vie sociale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Accompagnement médicosocial,K1301,-0.15162161383751402,-39.0585530569177,34.0812357795377,86,aide médico-psychologique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Intervention socioéducative,K1207,-0.15162161383751402,-27.379467089677302,30.222031816651896,87,éducateur spécialisé / éducatrice spécialisée,moniteur-éducateur / monitrice-éducatrice,éducateur / éducatrice de la protection judiciaire de la jeunesse (PJJ),conseiller / conseillère pénitentiaire d'insertion et de probation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Intervention sociale et familiale,K1305,-0.15162161383751402,-26.3322244948747,29.484635582929002,87,technicien / technicienne de l'intervention sociale et familiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Conception et pilotage de la politique des pouvoirs publics,K1401,-0.15162161383751402,21.4534148274137,14.1164108005553,39,secrétaire des Affaires étrangères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Prothèses dentaires,J1410,-0.15162161383751402,-54.134081559481004,47.2643826096591,82,prothésiste dentaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Intervention socioculturelle,K1206,-0.15162161383751402,17.923973061594,17.5350917649928,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,"Management de structure de santé, sociale ou pénitentiaire",K1403,-0.15162161383751402,13.0021265988633,12.4515959985765,88,directeur / directrice d'hôpital,directeur / directrice de centre pénitentiaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Information sociale,K1205,-0.15162161383751402,-25.8589043038317,28.178005643508897,87,conseiller / conseillère en génétique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Représentation de l'Etat sur le territoire national ou international,K1405,-0.15162161383751402,43.6330132863375,39.40593613400571,20,secrétaire des Affaires étrangères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Application des règles financières publiques,K1501,-0.15162161383751402,46.8912174671289,33.1185056736688,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Contrôle et inspection des Affaires Sociales,K1502,-0.15162161383751402,-18.667617729276,46.7818651812382,89,"inspecteur / inspectrice des douanes, des finances publiques ou du travail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Contrôle et inspection des impôts,K1503,-0.15162161383751402,47.514454456451595,35.0112892257298,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Contrôle et inspection du Trésor Public,K1504,-0.15162161383751402,47.72396620308329,35.6924181610202,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Médiation sociale et facilitation de la vie en société,K1204,-0.15162161383751402,-25.1015777512771,26.6089509228268,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Encadrement technique en insertion professionnelle,K1203,-0.15162161383751402,-18.378061368011,17.8905803083926,56,éducateur technique spécialisé / éducatrice technique spécialisée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Éducation de jeunes enfants,K1202,-0.15162161383751402,-37.397802312739,29.757641400379896,86,éducateur / éducatrice de jeunes enfants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Services domestiques,K1304,-0.15162161383751402,-63.684573034258605,4.8614701155942805,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Direction de la sécurité civile et des secours,K1702,-0.15162161383751402,-26.706241001412696,18.195054964267896,5,sapeur-pompier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Prothèses et orthèses,J1411,-0.15162161383751402,-52.9067448676303,46.7797302638571,82,orthoprothésiste,podo-orthésiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Conduite d'engins agricoles et forestiers,A1101,-0.15162161383751402,41.871318566727204,-52.84579570735729,1,conducteur / conductrice de machines agricoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Pédicurie et podologie,J1409,-0.15162161383751402,-49.6325800736513,46.012177371680096,82,pédicure-podologue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Peinture industrielle,H3404,-0.15162161383751402,-9.997918259856949,-40.450638350602,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Maintenance d'installation de chauffage,I1308,-0.15162161383751402,10.849394749569399,-47.62659131380529,78,technicien / technicienne de maintenance en génie climatique,technicien thermicien / technicienne thermicienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Installation et maintenance télécoms et courants faibles,I1307,-0.15162161383751402,2.25712918759307,-37.7933718766877,80,technicien / technicienne télécoms et réseaux,technicien / technicienne d'essais,installateur / installatrice en télécoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,"Installation et maintenance en froid, conditionnement d'air",I1306,-0.15162161383751402,10.4893748714676,-47.251634859400994,78,monteur / monteuse en installations thermiques et climatiques,technicien / technicienne de maintenance en génie climatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Installation et maintenance électronique,I1305,-0.15162161383751402,5.8455830037624406,-36.6848596308594,80,microtechnicien / microtechnicienne,technicien électrotechnicien / technicienne électrotechnicienne,électronicien / électronicienne automobile,technicien électronicien / technicienne électronicienne,optronicien / optronicienne,ingénieur / ingénieure maintenance aéronautique,ingénieur / ingénieure systèmes embarqués,mécatronicien / mécatronicienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Installation et maintenance d'équipements industriels et d'exploitation,I1304,-0.15162161383751402,8.191855869404861,-36.8893327166098,80,technicien électrotechnicien / technicienne électrotechnicienne,électromécanicien / électromécanicienne,technicien / technicienne de maintenance industrielle,nivoculteur / nivocultrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Installation et maintenance de distributeurs automatiques,I1303,-0.15162161383751402,-2.64935522340337,-39.7656661574126,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Installation et maintenance d'automatismes,I1302,-0.15162161383751402,14.044619445341999,-21.3761856533847,62,technicien / technicienne en automatismes,technicien / technicienne de maintenance industrielle,hydraulicien / hydraulicienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Installation et maintenance d'ascenseurs,I1301,-0.15162161383751402,1.00234293660941,-31.9317688109549,13,ascensoriste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Maintenance des bâtiments et des locaux,I1203,-0.15162161383751402,-51.7362462636064,-27.487420544339102,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Entretien et surveillance du tracé routier,I1202,-0.15162161383751402,-63.303621402465296,-3.0832437654813303,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Entretien d'affichage et mobilier urbain,I1201,-0.15162161383751402,-61.256513549438104,-1.7649778928500501,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Supervision d'entretien et gestion de véhicules,I1103,-0.15162161383751402,6.0841394720189,9.73365763135788,27,technicien / technicienne en engins de travaux publics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Management et ingénierie de maintenance industrielle,I1102,-0.15162161383751402,26.610916290472698,-9.97615338709818,64,ingénieur / ingénieure en aéronautique,ingénieur électronicien / ingénieure électronicienne des systèmes de la sécurité aérienne (IESSA),ingénieur / ingénieure maintenance aéronautique,ingénieur / ingénieure support,ingénieur / ingénieure de maintenance industrielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
